自転車(ふつう),,,,,,ジョギング,,,,,,水泳(平泳),,,,,,,階段(登り),,,,
,,,,,,,,,,,,,,,,,,,,,,,
男,,,女,,,男,,,女,,,男,,,女,,,男,,,女,,
15,歳,50kg,15歳,50ｋｇ,,15,歳,50kg,15歳,50ｋｇ,,15,歳,50kg,15歳,50ｋｇ,,15,歳,50kg,15歳,,50ｋｇ
60分,209,kcal,60分,188,kcal,60分,440.1,kcal,60分,394.4,kcal,60分,626,kcal,60分,561,kcal,60分,428.9,kcal,60分,384.46,kcal
1分,3.4,kcal,1分,3.1,kcal,1分,7.3,kcal,1分,6.5,kcal,1分,10.4,kcal,1分,9.3,kcal,1分,7.1,kcal,1分,6.4,kcal
2分,6.8,kcal,2分,6.2,kcal,2分,14.6,kcal,2分,13,kcal,2分,20.8,kcal,2分,18.6,kcal,2分,14.2,kcal,2分,12.8,kcal
3分,10.2,kcal,3分,9.3,kcal,3分,22,kcal,3分,19.5,kcal,3分,31.2,kcal,3分,55.8,kcal,3分,21.3,kcal,3分,19.2,kcal
4分,13.6,kcal,4分,12.4,kcal,4分,29.3,kcal,4分,26,kcal,4分,41.6,kcal,4分,223.2,kcal,4分,28.4,kcal,4分,25.6,kcal
,,,,,,,,,,,,,,,,,,,,,,,
男,,,女,,,男,,,女,,,男,,,女,,,男,,,女,,
25,歳,50kg,25歳,50ｋｇ,,25,歳,50kg,25歳,50kg,,25,歳,50kg,25歳,50ｋｇ,,25,歳,50kg,25歳,50ｋｇ,
60分,197,kcal,60分,184,kcal,60分,415.2,kcal,60分,386.1,kcal,60分,590,kcal,60分,549,kcal,60分,404.7,kcal,60分,376.3,kcal
1分,3.2,kcal,1分,3,kcal,1分,6.9,kcal,1分,6.4,kcal,1分,9.8,kcal,1分,9.1,kcal,1分,6.7,kcal,1分,6.2,kcal
2分,6.5,kcal,2分,6.1,kcal,2分,13.8,kcal,2分,12.8,kcal,2分,19.6,kcal,2分,18.2,kcal,2分,13.4,kcal,2分,12.4,kcal
3分,9.8,kcal,3分,9.2,kcal,3分,20.7,kcal,3分,19.2,kcal,3分,29.4,kcal,3分,27.3,kcal,3分,20.1,kcal,3分,18.6,kcal
4分,13.1,kcal,4分,12.2,kcal,4分,27.6,kcal,4分,25.6,kcal,4分,39.2,kcal,4分,36.4,kcal,4分,26.8,kcal,4分,24.8,kcal
,,,,,,,,,,,,,,,,,,,,,,,
35,歳,50kg,35歳,50kg,,35,歳,50kg,35歳,50kg,,35,歳,50kg,35歳,50kg,,35,歳,50kg,35歳,50kg,
60分,190,kcal,60分,172,kcal,60分,398.5,kcal,60分,361.2,kcal,60分,567,kcal,60分,514,kcal,60分,388.5,kcal,60分,352,kcal
1分,3.1,kcal,1分,2.8,kcal,1分,6.6,kcal,1分,6,kcal,1分,9.4,kcal,1分,8.5,kcal,1分,6.4,kcal,1分,5.8,kcal
2分,6.2,kcal,2分,5.6,kcal,2分,13.2,kcal,2分,12,kcal,2分,18.8,kcal,2分,17.1,kcal,2分,12.8,kcal,2分,11.6,kcal
3分,9.3,kcal,3分,8.4,kcal,3分,19.8,kcal,3分,18,kcal,3分,28.2,kcal,3分,25.7,kcal,3分,19.2,kcal,3分,17.4,kcal
4分,12.4,kcal,4分,11.2,kcal,4分,26.4,kcal,4分,24,kcal,4分,37.6,kcal,4分,34.2,kcal,4分,25.6,kcal,4分,23.2,kcal
,,,,,,,,,,,,,,,,,,,,,,,
45,歳,50kg,45歳,50kg,,45,歳,50kg,45歳,50kg,,45,歳,50kg,45歳,50kg,,45,歳,50kg,45歳,50kg,
60分,186,kcal,60分,168,kcal,60分,390.2,kcal,60分,352.9,kcal,60分,555,kcal,60分,502,kcal,60分,380.4,kcal,60分,343.9,kcal
1分,3.1,kcal,1分,2.8,kcal,1分,6.5,kcal,1分,5.8,kcal,1分,9.2,kcal,1分,8.3,kcal,1分,6.3,kcal,1分,5.7,kcal
2分,6.2,kcal,2分,5.6,kcal,2分,13,kcal,2分,11.6,kcal,2分,18.4,kcal,2分,16.6,kcal,2分,12.6,kcal,2分,11.4,kcal
3分,9.3,kcal,3分,8.4,kcal,3分,19.5,kcal,3分,17.4,kcal,3分,27.6,kcal,3分,24.9,kcal,3分,18.9,kcal,3分,17.1,kcal
4分,12.4,kcal,4分,11.2,kcal,4分,26,kcal,4分,23.2,kcal,4分,36.8,kcal,4分,33.2,kcal,4分,25.2,kcal,4分,22.8,kcal
