うどん,タンパク質(g),脂質(g),炭水化物(g),カルシウム(mg),食塩(g),食物繊維(g),カロリー(Kcal),
かけうどん,9.8 ,0.9 ,64.8 ,29.0 ,6.3 ,1.9 ,320.0 ,
カレーうどん,14.7 ,15.5 ,70.2 ,47.4 ,5.0 ,3.4 ,492.0 ,
きつねうどん,17.3 ,11.0 ,68.2 ,123.4 ,7.0 ,2.3 ,453.0 ,
ざるうどん,8.6 ,1.0 ,59.1 ,26.1 ,4.0 ,2.3 ,289.0 ,
力うどん,12.2 ,1.3 ,90.4 ,33.1 ,6.4 ,2.3 ,441.0 ,
月見うどん,16.1 ,5.5 ,65.8 ,57.4 ,6.5 ,2.2 ,390.0 ,
肉うどん,17.5 ,8.6 ,66.0 ,35.2 ,6.4 ,2.0 ,428.0 ,
冷やしうどん,15.2 ,1.5 ,74.2 ,108.4 ,8.0 ,3.0 ,380.0 ,
かまたまうどん,15.5 ,6.0 ,52.8 ,45.3 ,1.8 ,2.0 ,343.0 ,
ぶっかけうどん,9.8 ,0.9 ,64.8 ,29.0 ,6.3 ,1.9 ,320.0 ,
わかめうどん,12.3 ,1.4 ,70.3 ,79.0 ,5.0 ,4.1 ,350.0 ,
天ぷらうどん,21.2 ,7.8 ,71.3 ,94.0 ,5.0 ,3.3 ,454.0 ,
,,,,,,,,
てんぷら・フライ,,,,,,,,
かきあげ,3.1 ,6.6 ,6.8 ,15.2 ,0.3 ,0.7 ,100.0 ,
ちくわ,3.9 ,3.9 ,5.0 ,4.5 ,0.6 ,0.3 ,71.0 ,
さつまいも,8.1 ,2.4 ,9.0 ,102.0 ,1.2 ,0.0 ,90.0 ,
かぼちゃ,0.8 ,3.4 ,7.1 ,5.4 ,0.0 ,1.1 ,62.0 ,
メンチカツ,4.0 ,2.9 ,9.2 ,12.4 ,0.4 ,0.0 ,78.0 ,
コロッケ,2.8 ,3.0 ,15.2 ,12.0 ,0.4 ,0.0 ,98.0 ,
えび天,4.7 ,2.5 ,0.7 ,9.3 ,0.1 ,0.0 ,45.0 ,
うずら串揚げ,6.4 ,11.9 ,6.2 ,30.3 ,1.7 ,0.3 ,164.0 ,
アジフライ,15.6 ,11.2 ,6.3 ,26.4 ,2.2 ,0.3 ,196.0 ,
なす,2.0 ,34.0 ,13.4 ,20.0 ,0.0 ,3.6 ,368.0 ,
,,,,,,,,
おでん,,,,,,,,
たまご,7.7 ,6.0 ,0.2 ,30.6 ,0.2 ,0.0 ,91.0 ,
がんもどき,15.3 ,17.8 ,1.6 ,270.0 ,0.5 ,1.4 ,228.0 ,
大根,3.6 ,0.9 ,36.9 ,207.0 ,0.0 ,11.7 ,162.0 ,
こんにゃく,0.3 ,0.3 ,9.9 ,204.0 ,0.0 ,9.0 ,21.0 ,
ちくわ,3.7 ,0.6 ,4.1 ,4.5 ,0.6 ,0.0 ,36.0 ,
はんぺん,11.9 ,1.2 ,13.7 ,18.0 ,1.8 ,0.0 ,113.0 ,
牛すじ,28.3 ,4.9 ,0.0 ,15.0 ,0.2 ,0.0 ,155.0 ,
つくね,22.3 ,12.6 ,9.8 ,33.0 ,2.1 ,0.5 ,260.0 ,
もち巾着,4.1 ,5.2 ,14.5 ,50.0 ,0.5 ,0.5 ,124.0 ,
じゃがいも,1.5,0.1,15.4,5.0 ,0.5,1.0 ,67.0 ,
,,,,,,,,
おにぎり,,,,,,,,
梅,3.1 ,0.4 ,42.0 ,7.0 ,0.9 ,0.7 ,190.0 ,
塩,2.8 ,0.3 ,40.8 ,3.0 ,0.6 ,0.3 ,185.0 ,
ちらしずし,9.7 ,3.7 ,20.1 ,132.8 ,1.3 ,0.2 ,160.0 ,
いなりずし,5.1 ,6.2 ,25.4 ,72.3 ,1.5 ,0.5 ,183.0 ,
,,,,,,,,
おかず,,,,,,,,
鯖の味噌煮,32.6 ,27.8 ,13.2 ,420.0 ,2.2 ,0.0 ,432.0 ,
さんまの塩焼き,12.9 ,17.1 ,1.8 ,31.6 ,3.2 ,0.4 ,221.0 ,
鮭の塩焼き,18.0 ,3.6 ,0.1 ,9.3 ,6.0 ,0.0 ,110.0 ,
餃子,8.5 ,9.7 ,28.6 ,36.0 ,1.4 ,0.0 ,236.0 ,
シュウマイ,1.3 ,1.6 ,2.7 ,4.2 ,0.2 ,0.0 ,30.0 ,
お好み焼き,19.9 ,22.8 ,60.3 ,78.2 ,1.9 ,3.5 ,545.0 ,
麻婆豆腐,20.0 ,23.3 ,10.2 ,196.0 ,3.8 ,1.4 ,341.0 ,
チンジャオロース,16.3 ,23.0 ,9.1 ,20.2 ,1.6 ,2.2 ,318.0 ,
ポークビーンズ,14.8 ,19.4 ,10.1 ,76.0 ,1.9 ,4.7 ,277.0 ,
ハンバーグ,16.0 ,16.1 ,14.8 ,45.6 ,1.4 ,0.0 ,268.0 ,
ピーマンの肉詰め,24.5 ,18.0 ,25.4 ,50.8 ,4.1 ,3.1 ,369.0 ,
生姜焼き,21.5 ,25.3 ,10.7 ,31.8 ,2.7 ,1.0 ,386.0 ,
肉じゃが,5.3 ,7.3 ,19.4 ,11.1 ,1.3 ,1.3 ,170.0 ,
野菜炒め,2.5 ,7.3 ,12.6 ,59.1 ,1.5 ,3.6 ,120.0 ,
鳥の照り焼き,41.3 ,41.0 ,12.3 ,16.7 ,2.1 ,0.0 ,619.0 ,
きんぴらごぼう,1.2 ,3.1 ,14.3 ,24.3 ,0.6 ,2.7 ,97.0 ,
五目煮,3.9 ,1.5 ,8.4 ,54.4 ,1.2 ,3.5 ,57.0 ,
ロールキャベツ,11.2 ,8.0 ,12.1 ,58.5 ,2.1 ,2.1 ,166.0 ,
ホウレンソウの胡麻和え,3.1 ,3.5 ,5.7 ,107.5 ,0.6 ,2.7 ,61.0 ,
木綿豆腐,6.6 ,4.2 ,1.6 ,360.0 ,0.0 ,0.4 ,72.0 ,
ひじきの煮物,3.5 ,8.4 ,13.1 ,156.0 ,1.5 ,4.3 ,135.0 ,
ゴーヤチャンプル,12.0 ,18.3 ,4.1 ,76.9 ,2.5 ,1.6 ,235.0 ,
ミニトマト,1.0 ,0.1 ,0.7 ,1.2 ,0.0 ,0.1 ,3.0 ,
筑前煮,9.2 ,9.8 ,21.2 ,37.6 ,1.8 ,3.7 ,211.0 ,
きゅうりとわかめの酢の物,1.2 ,0.1 ,4.5 ,42.6 ,1.3 ,1.8 ,19.0 ,
かつおのたたき,27.8 ,0.7 ,6.6 ,50.7 ,2.1 ,1.3 ,155.0 ,
茶碗蒸し,10.5 ,6.9 ,7.0 ,31.2 ,1.6 ,0.6 ,142.0 ,
高野豆腐,7.9 ,5.3 ,0.9 ,105.6 ,0.2 ,0.3 ,85.0 ,
,,,,,,,,
サラダ,,,,,,,,
かぼちゃサラダ,10.1 ,28.9 ,22.5 ,419.2 ,1.2 ,3.5 ,395.0 ,
マカロニサラダ,5.2 ,12.3 ,19.8 ,9.0 ,1.5 ,1.4 ,213.0 ,
ポテトサラダ,2.9 ,6.7 ,10.2 ,72.3 ,0.8 ,1.0 ,113.0 ,
海藻サラダ,3.1 ,0.3 ,16.9 ,97.6 ,4.3 ,4.7 ,70.0 ,
コーンサラダ,1.6 ,9.6 ,7.0 ,14.8 ,0.2 ,1.5 ,119.0 ,
ごぼうサラダ,2.6 ,12.4 ,11.1 ,105.8 ,0.7 ,4.3 ,160.0 ,
大根サラダ,1.9 ,0.2 ,7.3 ,28.9 ,1.3 ,1.5 ,38.0 ,
卵サラダ,3.3 ,7.3 ,3.4 ,21.7 ,0.5 ,1.3 ,92.0 ,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
